# 5 ft = 68px 
# 0.073529 ft/px
# 13.6 px/ft


# conversion from feet to meters
0.3048


# start_x, start_y, end_x, end_y
177.50,8.60,177.50,19.93
177.50,19.93,178.97,19.93
178.97,19.93,178.97,20.44
178.97,20.44,170.15,20.44
170.15,20.44,170.15,19.93
170.15,19.93,177.13,19.93
177.13,19.93,177.13,8.60
177.13,8.60,165.74,8.60
165.74,8.60,165.74,19.93
165.74,19.93,167.21,19.93
167.21,19.93,167.21,20.44
167.21,20.44,158.38,20.44
158.38,20.44,158.38,19.93
158.38,19.93,165.37,19.93
165.37,19.93,165.37,8.60
165.37,8.60,153.97,8.60
153.97,8.60,153.97,19.93
153.97,19.93,155.44,19.93
155.44,19.93,155.44,20.44
155.44,20.44,145.88,20.44
145.88,20.44,145.88,19.93
145.88,19.93,153.60,19.93
153.60,19.93,153.60,8.60
153.60,8.60,141.47,8.60
141.47,8.60,141.47,19.93
141.47,19.93,142.94,19.93
142.94,19.93,142.94,20.44
142.94,20.44,141.03,20.44
141.03,20.44,141.03,7.65
0.00,27.13,0.00,20.29
0.00,20.29,7.13,20.29
7.13,20.29,7.13,18.97
7.13,18.97,10.37,18.97
10.37,18.97,10.37,20.29
10.37,20.29,18.01,20.29
18.01,20.29,18.01,19.26
18.01,19.26,23.60,19.26
23.60,19.26,23.60,20.29
23.60,20.29,24.93,20.29
24.93,20.29,24.93,19.41
24.93,19.41,33.90,19.41
33.90,19.41,33.90,20.29
33.90,20.29,36.54,20.29
36.54,20.29,36.54,18.97
36.54,18.97,34.12,18.97
34.12,18.97,34.12,8.75
34.12,8.75,47.72,8.75
47.72,8.75,47.72,19.85
47.72,19.85,39.49,19.85
39.49,19.85,39.49,20.29
39.49,20.29,49.56,20.29
49.56,20.29,49.56,19.85
49.56,19.85,48.09,19.85
48.09,19.85,48.09,8.75
48.09,8.75,59.49,8.75
59.49,8.75,59.49,19.85
59.49,19.85,52.50,19.85
52.50,19.85,52.50,20.29
52.50,20.29,61.32,20.29
61.32,20.29,61.32,19.85
61.32,19.85,59.85,19.85
59.85,19.85,59.85,8.75
59.85,8.75,71.25,8.75
71.25,8.75,71.25,19.41
71.25,19.41,64.26,19.41
64.26,19.41,64.26,20.29
64.26,20.29,73.09,20.29
73.09,20.29,73.09,19.85
73.09,19.85,71.62,19.85
71.62,19.85,71.62,8.75
71.62,8.75,83.01,8.75
83.01,8.75,83.01,19.85
83.01,19.85,76.03,19.85
76.03,19.85,76.03,20.29
76.03,20.29,84.85,20.29
84.85,20.29,84.85,19.85
84.85,19.85,83.38,19.85
83.38,19.85,83.38,8.75
83.38,8.75,95.15,8.75
95.15,8.75,95.15,19.85
95.15,19.85,87.79,19.85
87.79,19.85,87.79,20.29
87.79,20.29,100.51,20.29
100.51,20.29,100.51,19.85
100.51,19.85,95.51,19.85
95.51,19.85,95.51,-0.22
95.51,-0.22,103.68,-0.22
103.68,-0.22,103.68,15.29
103.68,15.29,100.15,15.29
100.15,15.29,100.15,16.69
100.15,16.69,100.51,16.69
100.51,16.69,100.51,15.74
100.51,15.74,108.68,15.74
108.68,15.74,108.68,16.69
108.68,16.69,109.12,16.69
109.12,16.69,109.12,15.29
109.12,15.29,105.66,15.29
105.66,15.29,105.66,-0.29
105.66,-0.29,113.75,-0.29
113.75,-0.29,113.75,19.85
113.75,19.85,108.68,19.85
108.68,19.85,108.68,20.29
108.68,20.29,114.78,20.29
114.78,20.29,114.78,9.04
114.78,9.04,119.78,9.04
119.78,9.04,119.78,8.01
119.78,8.01,123.09,8.01
123.09,8.01,123.09,9.04
123.09,9.04,128.31,9.04
128.31,9.04,128.31,7.65
128.31,7.65,141.03,7.65







